id,name,bsaber,discordId
0,Assistant,assistant,314941664341000193
1,None,null,-1
2,ikeiwa,ikeiwa,-1
3,Emma,emma,-1
4,Oshi,oshi,-1
5,Kyle 1413,kyle1413,-1
6,MissRaynor,missraynor,-1
7,skryon,null,-1
8,CoreFuzedGaming,null,-1
9,FayeVR,null,-1
10,Nishkat,null,-1
11,Xypod13,xypod13,-1
12,Auros,auros,-1
13,Klouder,klouder,-1
14,BeigeAnimal,BeigeAnimal,185634919446216705
15,Alppuccino,Alppuccino,-1
16,Guatapuri,Guatapuri,-1
17,Tsuna,null,-1
18,Ender,null,-1
19,DeeJay,DeeJay,-1
20,SweetBean,null,-1
21,aggrogahu,aggrogahu,-1
22,LostVint,null,-1
23,Punzer,null,-1
24,Tailskid Gaming,null,-1
25,Derpy Hooves,derpyhooves,-1
26,Parker Lippstock,null,-1
27,HentaiGod,null,-1
28,TrappedinGold,null,-1
29,Whistl3R,Whistl3R,390661978311360513
30,denpadokei,null,-1
31,CoffeeCone,CoffeeCone,-1
32,Ibodan,Ibodan,-1
33,Mr Bones/GasBandit,GasBandit,-1
34,Swingly,Swingly,-1
35,Raynor,MissRaynor,-1
36,ShibeMan,ShibeMan,-1
37,Nekozen,nekozen,-1
38,Dracrius,Dracrius,-1
39,andruzzzhka,null,-1
40,Prof. Dru,Prof. Dru,-1
41,Mordred,null,-1
42,F#2185,F,-1
43,Shanerius,Shanerius,-1
44,Qipz,null,-1
45,AkaRaiden,https://bsaber.com/members/akaraiden/,229744332209520640
46,GasBandit,GasBandit,-1
47,Mythra(Mordred),null,-1
48,TK4210,TK-421,-1
49,Laugexd,Laugexd,146243483898871808
50,Soraxel,Soraxel,-1
51,triazo,triazo,-1
52,Mellin,Mellin,-1
53,Jcorella,Jcorella,-1
54,TFizz,TFizz,-1
55,DownyCat,DownyCat,-1
56,wolven,Serrated Swords,-1
57,OnlyPolygon,OnlyPolygon,-1
58,Model: Shadow090102 & Port: a1batross,a1batross,-1
59,eggdog,eggdog,-1
60,Mathi Gaming,mathigaming,-1
61,Axi,Axi,-1
62,Nicoreda,Nicoreda,-1
63,xScaramouche,xScaramouche,-1
64,Kamizhou,Kamizhou,-1
65,Eph,Fenice,-1
66,Imperishable_NEET,null,-1
67,Nova Aurora,Nova Aurora,-1
68,Tachrayonic,null,195767779192864768
69,Zayle Sena,Zayle,-1
70,KittenPublicSchool,null,-1
71,YaGirlFia,Caliburn,-1
72,PixelPoizon,PixelPoison,-1
73,Megalon,megalon,-1
74,Abeskandr,Abeskandr,-1
75,Sombreffroi,Watanabe,-1
76,[REDACTED],null,-1
77,TheSavageHybrid,TheSavageHybrid,-1
78,Rolo,rolopogo,-1
79,SkyDragon,SkyDragon,-1
80,CranMan,CranMan,-1
81,TheOneWithManyNames,TheOneWithManyNames,-1
82,arcticgamez,Arcticgamez,-1
83,Your Requests,null,-1
84,Zoey,Zoey,-1
85,Futuramaahoi,Futuramaahoi,-1
86,ichimo,ichimo,-1
87,MrTheRich,MrTheRich,-1
88,Euxillion,Euxillion,-1
89,MeowMilk,MeowMilk,-1
90,Fox3952,Fox3952,-1
91,Default Cube,Default Cube,-1
92,DarnHyena,DarnHyena,-1
93,Cornflakes,MegaCornflakes,-1
94,Pietson,Pietson,-1
95,"kskst for model, desupri for export,  crfr for import",crfr,-1
96,Skeer,「SKEER」,-1
97,Kiwi,SAB Sabers,-1
98,Mishonary®,Mishonary®,-1
99,Kirbyfire,Kirbyfire,-1
100,DIEFeuertomate,DIEFeuertomate,-1
101,VorksBox,VorksBox,-1
102,Maclane,Maclane,-1
103,PureDark,PureDark,-1
104,Maclane - Requested by Ches the Irish Loli,Maclane,-1
105,Kyle1413,Kyle 1413,-1
106,MyName,null,-1
107,Ofek,Ofek24885,-1
108,iza.ini,iza.ini,-1
109,kuiwa,null,-1
110,Whyskaz,LoliKon,-1
111,Dimenzija,LeviBrunette,-1
112,yulotomorrow,null,-1
113,TheLastSlice,NightRider,-1
114,Reiterpallasch,Reiterpallasch,-1
115,Kioi,Kioi,-1
116,Raemien,raemien,325902655400574978
117,whoever made the original ones,Kioi,-1
118,Qlone (sketchfab),Kioi,-1
119,FrostDragon,FrostDragon,-1
120,Minirolls,Mini rolls™,-1
121,Loagurt,Loagurt's Sabers v2,-1
122,Subpilot41,Subpilot41,-1
123,PrismatiCore,PrismatiCore,-1
124,Verbina29,verbina29,-1
